slug_country,tournament,id,slug_torn
bolivia,Segunda de Ascenso La Paz,28350,segunda-de-ascenso-la-paz
bolivia,Segunda de Ascenso Santa Cruz,27800,segunda-de-ascenso-santa-cruz
bolivia,Segunda de Ascenso Tarija,27805,segunda-de-ascenso-tarija
bolivia,Tercera de Ascenso Cochabamba,27691,tercera-de-ascenso-cochabamba
bolivia,Tercera de Ascenso La Paz,28380,tercera-de-ascenso-la-paz
bolivia,Tercera de Ascenso Santa Cruz,27836,tercera-de-ascenso-santa-cruz
bolivia,Tercera de Ascenso Tarija,27819,tercera-de-ascenso-tarija
bosnia-herzegovina,WWIN Liga BiH,222,wwin-premijer-liga
bosnia-herzegovina,Bosnia & Herzegovina Cup,583,bosnia-and-herzegovina-cup
bosnia-herzegovina,Super Kup,26693,super-kup
bosnia-herzegovina,"Prva Liga, Federacije BiH",716,prva-liga-federacije-bih
bosnia-herzegovina,"Prva Liga, Republike Srpske",715,prva-liga-republike-srpske
bosnia-herzegovina,Premijer Liga BiH Juniori,22934,premijer-liga-bih-juniori
bosnia-herzegovina,Premijer Ženska Liga,26498,premijer-zenska-liga
bosnia-herzegovina,Kup BiH Juniori,25373,kup-bih-juniori
bosnia-herzegovina,Kup BiH Žene,26521,kup-bih-zene
botswana,Botswana Premier League,11420,premier-league
brazil,Brasileirão Betano,325,brasileirao-serie-a
brazil,Brasileirão Série B,390,brasileirao-serie-b
brazil,Brasileirão Série C,1281,brasileirao-serie-c
brazil,Brasileirão Série D,10326,brasileirao-serie-d
brazil,Copa Betano do Brasil,373,copa-do-brasil
brazil,Supercopa do Brasil,14602,supercopa-do-brasil
brazil,"Brasileirão Série A1, Feminino",10257,brasileirao-serie-a1-feminino
brazil,"Brasileirão Série A2, Feminino",14732,brasileirao-serie-a2-feminino
brazil,"Brasileirão Série A3, Feminino",22272,brasileirao-serie-a3-feminino
brazil,"Copa do Brasil, Feminino",26768,copa-do-brasil-women
brazil,Supercopa Feminina do Brasil,19917,supercopa-feminina-betano-do-brasil
brazil,Acreano,14659,acreano
brazil,"Acreano, Série B",28208,acreano-serie-b
brazil,Alagoano,10294,alagoano
brazil,"Alagoano, Série B",20472,alagoano-serie-b
brazil,Copa Alagoas,19813,copa-alagoas
brazil,Amapazão,13668,amapaense
brazil,"Amapazão, Série B",22816,amapaense-serie-b
brazil,"Amapazão, Feminino",22426,amapaense-feminino
brazil,Amazonense,11702,amazonense
brazil,"Amazonense, Série B",26797,amazonense-serie-b
brazil,"Amazonense, Feminino",20911,amazonense-feminino
brazil,Baiano,374,baiano
brazil,"Baiano, Série B",20352,baiano-serie-b
brazil,"Baiano, Feminino",21534,baiano-feminino
brazil,Brasiliense,11682,brasiliense
brazil,"Candango, Serie B",28367,candango-serie-b
brazil,"Brasiliense, Feminino",21066,brasiliense-feminino
brazil,Capixaba,14650,capixaba
brazil,"Capixaba, Série B",20806,capixaba-serie-b
brazil,Copa Espírito Santo,26249,copa-espirito-santo
brazil,"Capixaba, Feminino",22956,capixaba-feminino
brazil,Carioca,92,carioca
brazil,"Carioca, Série A2",18644,carioca-serie-a2
brazil,"Carioca,  Série B1",20902,carioca-serie-b1
brazil,"Carioca, Série B2",20903,carioca-serie-b2
brazil,"Carioca, Série C",20239,carioca-serie-c
brazil,Copa Rio,20547,copa-rio
brazil,"Carioca, Feminino",18897,carioca-feminino
brazil,"Copa Rio, Feminino",21950,copa-rio-feminino
brazil,Catarinense,376,catarinense
brazil,"Catarinense, Série B",20070,catarinense-serie-b
brazil,"Catarinense, Série C",21065,catarinense-serie-c
brazil,Copa Santa Catarina,20898,copa-santa-catarina
brazil,Recopa Catarinense,19812,recopa-catarinense
brazil,"Catarinense, Feminino",27666,catarinense-women
brazil,Cearense,378,cearense
brazil,"Cearense, Série B",19855,cearense-serie-b
brazil,"Cearense, Série C",20513,cearense-serie-c
brazil,Taça Fares Lopes,20546,taca-fares-lopes
brazil,"Cearense, Feminino",21306,cearense-feminino
brazil,Gaúcho,377,gaucho
brazil,"Gaúcho, Série A2",18643,gaucho-serie-a2
brazil,"Gaúcho, Série B",21133,gaucho-serie-b
brazil,Recopa Gaúcha,19814,recopa-gaucha
brazil,"Gaúcho, Feminino",20707,gaucho-feminino
brazil,Goiano,381,goiano
brazil,"Goiano, Divisão de Acesso",19220,goiano-divisao-de-acesso
brazil,"Goiano, Terceira Divisão",21011,goiano-terceira-divisao
brazil,"Goiano, Feminino",20895,goiano-feminino
brazil,Maranhense,11664,maranhense
brazil,"Maranhense, Série B",20891,maranhense-serie-b
brazil,Mato-Grossense,11670,mato-grossense
brazil,"Mato-Grossense, 2ª Divisão",27742,mato-grossense-2-divisao
brazil,Copa FMF,21028,copa-fmf
brazil,"Mato-Grossense, Feminino",20839,mato-grossense-feminino
brazil,"Mineiro, Módulo I",379,mineiro-modulo-i
brazil,"Mineiro, Módulo II",20069,mineiro-modulo-ii
brazil,"Mineiro, Segunda Divisão",20750,mineiro-segunda-divisao
brazil,Recopa Mineira,19850,recopa-mineira
brazil,"Mineiro, Feminino",20976,mineiro-feminino
brazil,Paraense,11669,paraense
brazil,"Paraense, Série A2",20584,paraense-serie-b1
brazil,"Paraense, Série B2",20348,paraense-serie-b2
brazil,Copa Grão Pará,22198,copa-grao-para
brazil,Supercopa Grão-Pará,21686,supercopa-grao-para
brazil,"Paraense, Feminino",24173,paraense-feminino
brazil,"Copa Pará, Feminino",22790,copa-para-feminino
brazil,Paraibano,10295,paraibano
brazil,"Paraibano, 2ª Divisão",20893,paraibano-2a-divisao
brazil,"Paraibano, 3ª Divisão",21155,paraibano-3a-divisao
brazil,"Paraibano, Feminino",24164,paraibano-feminino
brazil,Paranaense,382,paranaense
brazil,"Paranaense, 2ª Divisão",20096,paranaense-2a-divisao
brazil,"Paranaense, 3ª Divisão",21143,paranaense-3a-divisao
brazil,"Paranaense, Feminino",21413,paranaense-feminino
brazil,Paulista Série A1,372,paulista-serie-a1
brazil,"Paulista, Série A2",1234,paulista-serie-a2
brazil,"Paulista, Série A3",1614,paulista-serie-a3
brazil,"Paulista, Série A4",20058,paulista-serie-a4
brazil,"Paulista, Segunda Divisão",22327,paulista-segunda-divisao
brazil,Copa Paulista,10383,copa-paulista
brazil,"Paulista, Feminino",14448,paulista-feminino
brazil,"Taça Paulistana, Feminino",24180,taca-paulistana-feminina
brazil,Pernambucano,380,pernambucano
brazil,"Pernambucano, Série A2",21161,pernambucano-serie-a2
brazil,"Pernambucano, Série A3",21251,pernambucano-serie-a3
brazil,"Pernambucano, Feminino",24265,pernambucano-feminino
brazil,Piauiense,13353,piauiense
brazil,"Piauiense, Série B",21151,piauiense-serie-b
brazil,"Piauiense, Feminino",21573,piauiense-feminino
brazil,"Potiguar, 1ª Divisão",11663,potiguar-1a-divisao
brazil,"Potiguar, 2ª Divisão",21150,potiguar-2a-divisao
brazil,"Potiguar, Feminino",24235,campeonato-potiguar-feminino
brazil,Rondoniense,14658,rondoniense
brazil,"Rondoniense, Série B",21156,rondoniense-serie-b
brazil,Roraimense,14733,roraimense
