slug_country,tournament,leagueid,slug_torn,teamName,teamid,teamslug,teamorigin
antigua-and-barbuda,ABFA Premier Division,19790,abfa-premier-division,John Hughes SC,500239,john-hughes-sc,antigua-and-barbuda
antigua-and-barbuda,ABFA Premier Division,19790,abfa-premier-division,Potters Tigers FC,933635,potters-tigers-fc,antigua-and-barbuda
antigua-and-barbuda,ABFA Premier Division,19790,abfa-premier-division,Green City FC,500238,green-city-fc,antigua-and-barbuda
antigua-and-barbuda,ABFA Premier Division,19790,abfa-premier-division,Attacking Saints FC,933636,attacking-saints-fc,antigua-and-barbuda
antigua-and-barbuda,ABFA Premier Division,19790,abfa-premier-division,Five Islands FC,276897,five-islands-fc,antigua-and-barbuda
antigua-and-barbuda,ABFA Premier Division,19790,abfa-premier-division,Parham FC,306181,parham-fc,antigua-and-barbuda
antigua-and-barbuda,ABFA Premier Division,19790,abfa-premier-division,Willikies FC,459374,willikies-fc,antigua-and-barbuda
antigua-and-barbuda,ABFA Premier Division,19790,abfa-premier-division,Greenbay Hoppers,459376,greenbay-hoppers,antigua-and-barbuda
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Barracas Central,65668,barracas-central,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Central Córdoba,65676,central-cordoba,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Boca Juniors,3202,boca-juniors,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Club Atlético Unión de Santa Fe,3204,club-atletico-union,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Defensa y Justicia,36839,defensa-y-justicia,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Estudiantes de La Plata,3206,estudiantes-de-la-plata,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Huracán,7629,huracan,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Banfield,3219,banfield,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Argentinos Juniors,3216,argentinos-juniors,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Independiente Rivadavia,36842,independiente-rivadavia,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Belgrano,3203,belgrano,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Tigre,7628,tigre,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Newell's Old Boys,3212,newells-old-boys,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Racing Club,3215,racing-club,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Aldosivi,36836,aldosivi,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,River Plate,3211,river-plate,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Vélez Sarsfield,3208,velez-sarsfield,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Deportivo Riestra,189723,deportivo-riestra,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,San Lorenzo,3201,san-lorenzo,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Rosario Central,3217,rosario-central,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Gimnasia y Esgrima,3205,gimnasia-y-esgrima,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,CA Lanús,3218,lanus,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Atlético Tucumán,36833,atletico-tucuman,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,San Martín de San Juan,7772,san-martin-de-san-juan,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Godoy Cruz,6074,godoy-cruz,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Platense,36837,platense,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Sarmiento,42338,sarmiento,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Instituto De Córdoba,4937,instituto-cordoba,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,Talleres,3210,talleres,argentina
argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol,CA Independiente,3209,independiente,argentina
armenia,Armenian Premier League,671,idbank-premier-league,Urartu,5225,urartu,armenia
armenia,Armenian Premier League,671,idbank-premier-league,FC Alashkert,67966,fc-alashkert,armenia
armenia,Armenian Premier League,671,idbank-premier-league,FC Ararat-Armenia,262229,fc-ararat-armenia,armenia
armenia,Armenian Premier League,671,idbank-premier-league,Pyunik Yerevan,5214,pyunik-yerevan,armenia
armenia,Armenian Premier League,671,idbank-premier-league,FC Noah,262228,fc-noah,armenia
armenia,Armenian Premier League,671,idbank-premier-league,BKMA Yerevan,325785,bkma-yerevan,armenia
armenia,Armenian Premier League,671,idbank-premier-league,FC Van,325779,fc-van,armenia
armenia,Armenian Premier League,671,idbank-premier-league,FC Gandzasar,36059,fc-gandzasar,armenia
armenia,Armenian Premier League,671,idbank-premier-league,FC Shirak Gyumri,33817,fc-shirak-gyumri,armenia
armenia,Armenian Premier League,671,idbank-premier-league,FC Ararat,5377,fc-ararat,armenia
aruba,Division di Honor,19345,division-di-honor,SV Britannia Piedra Plat,451286,sv-britannia-piedra-plat,aruba
aruba,Division di Honor,19345,division-di-honor,SV Racing Club Aruba Solito,451275,sv-racing-club-aruba-solito,aruba
aruba,Division di Honor,19345,division-di-honor,SV Dakota,451285,sv-dakota,aruba
aruba,Division di Honor,19345,division-di-honor,SV La Fama Savaneta,451279,sv-la-fama-savaneta,aruba
aruba,Division di Honor,19345,division-di-honor,SV Deportivo Nacional Palm Beach,451276,sv-deportivo-nacional-palm-beach,aruba
aruba,Division di Honor,19345,division-di-honor,SV Estrella Papilon,451277,sv-estrella-papilon,aruba
aruba,Division di Honor,19345,division-di-honor,SV River Plate Aruba,451282,sv-river-plate-aruba,aruba
aruba,Division di Honor,19345,division-di-honor,SC United,451280,sc-united,aruba
aruba,Division di Honor,19345,division-di-honor,Jong Aruba,338282,jong-aruba,aruba
aruba,Division di Honor,19345,division-di-honor,SV Unistars,464453,sv-unistars,aruba
australia,A-League Men,136,a-league-men,Auckland FC,800224,auckland-fc,australia
australia,A-League Men,136,a-league-men,Melbourne City,42210,melbourne-city,australia
australia,A-League Men,136,a-league-men,Western United,193723,western-united,australia
australia,A-League Men,136,a-league-men,Western Sydney Wanderers,72926,western-sydney-wanderers,australia
