,slug_country,tournament,id,slug_torn
275,botswana,Botswana Premier League,11420,premier-league
276,brazil,Brasileirão Betano,325,brasileirao-serie-a
277,brazil,Brasileirão Série B,390,brasileirao-serie-b
278,brazil,Brasileirão Série C,1281,brasileirao-serie-c
279,brazil,Brasileirão Série D,10326,brasileirao-serie-d
280,brazil,Copa Betano do Brasil,373,copa-do-brasil
281,brazil,Supercopa do Brasil,14602,supercopa-do-brasil
282,brazil,"Brasileirão Série A1, Feminino",10257,brasileirao-serie-a1-feminino
283,brazil,"Brasileirão Série A2, Feminino",14732,brasileirao-serie-a2-feminino
284,brazil,"Brasileirão Série A3, Feminino",22272,brasileirao-serie-a3-feminino
285,brazil,"Copa do Brasil, Feminino",26768,copa-do-brasil-women
286,brazil,Supercopa Feminina do Brasil,19917,supercopa-feminina-betano-do-brasil
287,brazil,Acreano,14659,acreano
288,brazil,"Acreano, Série B",28208,acreano-serie-b
289,brazil,Alagoano,10294,alagoano
290,brazil,"Alagoano, Série B",20472,alagoano-serie-b
291,brazil,Copa Alagoas,19813,copa-alagoas
292,brazil,Amapazão,13668,amapaense
293,brazil,"Amapazão, Série B",22816,amapaense-serie-b
294,brazil,"Amapazão, Feminino",22426,amapaense-feminino
295,brazil,Amazonense,11702,amazonense
296,brazil,"Amazonense, Série B",26797,amazonense-serie-b
297,brazil,"Amazonense, Feminino",20911,amazonense-feminino
298,brazil,Baiano,374,baiano
299,brazil,"Baiano, Série B",20352,baiano-serie-b
300,brazil,"Baiano, Feminino",21534,baiano-feminino
301,brazil,Brasiliense,11682,brasiliense
302,brazil,"Candango, Serie B",28367,candango-serie-b
303,brazil,"Brasiliense, Feminino",21066,brasiliense-feminino
304,brazil,Capixaba,14650,capixaba
305,brazil,"Capixaba, Série B",20806,capixaba-serie-b
306,brazil,Copa Espírito Santo,26249,copa-espirito-santo
307,brazil,"Capixaba, Feminino",22956,capixaba-feminino
308,brazil,Carioca,92,carioca
309,brazil,"Carioca, Série A2",18644,carioca-serie-a2
310,brazil,"Carioca,  Série B1",20902,carioca-serie-b1
311,brazil,"Carioca, Série B2",20903,carioca-serie-b2
312,brazil,"Carioca, Série C",20239,carioca-serie-c
313,brazil,Copa Rio,20547,copa-rio
314,brazil,"Carioca, Feminino",18897,carioca-feminino
315,brazil,"Copa Rio, Feminino",21950,copa-rio-feminino
316,brazil,Catarinense,376,catarinense
317,brazil,"Catarinense, Série B",20070,catarinense-serie-b
318,brazil,"Catarinense, Série C",21065,catarinense-serie-c
319,brazil,Copa Santa Catarina,20898,copa-santa-catarina
320,brazil,Recopa Catarinense,19812,recopa-catarinense
321,brazil,"Catarinense, Feminino",27666,catarinense-women
322,brazil,Cearense,378,cearense
323,brazil,"Cearense, Série B",19855,cearense-serie-b
324,brazil,"Cearense, Série C",20513,cearense-serie-c
325,brazil,Taça Fares Lopes,20546,taca-fares-lopes
326,brazil,"Cearense, Feminino",21306,cearense-feminino
327,brazil,Gaúcho,377,gaucho
328,brazil,"Gaúcho, Série A2",18643,gaucho-serie-a2
329,brazil,"Gaúcho, Série B",21133,gaucho-serie-b
330,brazil,Recopa Gaúcha,19814,recopa-gaucha
331,brazil,"Gaúcho, Feminino",20707,gaucho-feminino
332,brazil,Goiano,381,goiano
333,brazil,"Goiano, Divisão de Acesso",19220,goiano-divisao-de-acesso
334,brazil,"Goiano, Terceira Divisão",21011,goiano-terceira-divisao
335,brazil,"Goiano, Feminino",20895,goiano-feminino
336,brazil,Maranhense,11664,maranhense
337,brazil,"Maranhense, Série B",20891,maranhense-serie-b
338,brazil,Mato-Grossense,11670,mato-grossense
339,brazil,"Mato-Grossense, 2ª Divisão",27742,mato-grossense-2-divisao
340,brazil,Copa FMF,21028,copa-fmf
341,brazil,"Mato-Grossense, Feminino",20839,mato-grossense-feminino
342,brazil,"Mineiro, Módulo I",379,mineiro-modulo-i
343,brazil,"Mineiro, Módulo II",20069,mineiro-modulo-ii
344,brazil,"Mineiro, Segunda Divisão",20750,mineiro-segunda-divisao
345,brazil,Recopa Mineira,19850,recopa-mineira
346,brazil,"Mineiro, Feminino",20976,mineiro-feminino
347,brazil,Paraense,11669,paraense
348,brazil,"Paraense, Série A2",20584,paraense-serie-b1
349,brazil,"Paraense, Série B2",20348,paraense-serie-b2
350,brazil,Copa Grão Pará,22198,copa-grao-para
351,brazil,Supercopa Grão-Pará,21686,supercopa-grao-para
352,brazil,"Paraense, Feminino",24173,paraense-feminino
353,brazil,"Copa Pará, Feminino",22790,copa-para-feminino
354,brazil,Paraibano,10295,paraibano
355,brazil,"Paraibano, 2ª Divisão",20893,paraibano-2a-divisao
356,brazil,"Paraibano, 3ª Divisão",21155,paraibano-3a-divisao
357,brazil,"Paraibano, Feminino",24164,paraibano-feminino
358,brazil,Paranaense,382,paranaense
359,brazil,"Paranaense, 2ª Divisão",20096,paranaense-2a-divisao
360,brazil,"Paranaense, 3ª Divisão",21143,paranaense-3a-divisao
361,brazil,"Paranaense, Feminino",21413,paranaense-feminino
362,brazil,Paulista Série A1,372,paulista-serie-a1
363,brazil,"Paulista, Série A2",1234,paulista-serie-a2
364,brazil,"Paulista, Série A3",1614,paulista-serie-a3
365,brazil,"Paulista, Série A4",20058,paulista-serie-a4
366,brazil,"Paulista, Segunda Divisão",22327,paulista-segunda-divisao
367,brazil,Copa Paulista,10383,copa-paulista
368,brazil,"Paulista, Feminino",14448,paulista-feminino
369,brazil,"Taça Paulistana, Feminino",24180,taca-paulistana-feminina
370,brazil,Pernambucano,380,pernambucano
371,brazil,"Pernambucano, Série A2",21161,pernambucano-serie-a2
372,brazil,"Pernambucano, Série A3",21251,pernambucano-serie-a3
373,brazil,"Pernambucano, Feminino",24265,pernambucano-feminino
374,brazil,Piauiense,13353,piauiense
375,brazil,"Piauiense, Série B",21151,piauiense-serie-b
376,brazil,"Piauiense, Feminino",21573,piauiense-feminino
377,brazil,"Potiguar, 1ª Divisão",11663,potiguar-1a-divisao
378,brazil,"Potiguar, 2ª Divisão",21150,potiguar-2a-divisao
379,brazil,"Potiguar, Feminino",24235,campeonato-potiguar-feminino
380,brazil,Rondoniense,14658,rondoniense
381,brazil,"Rondoniense, Série B",21156,rondoniense-serie-b
382,brazil,Roraimense,14733,roraimense
383,brazil,"Roraimense, Feminino",24258,roraimense-feminino
384,brazil,Sergipano,11665,sergipano
385,brazil,"Sergipano, Série A2",20825,sergipano-serie-a2
386,brazil,Copa Governo do Estado de Sergipe,27958,copa-governo-do-estado-de-sergipe
387,brazil,Sul-Mato-Grossense,11679,sul-mato-grossense
388,brazil,"Sul-Mato-Grossense, Série B",21158,sul-mato-grossense-serie-b
389,brazil,"Sul-Mato-Grossense, Feminino",28397,sul-mato-grossense-feminino
390,brazil,Tocantinense,14686,tocantinense
391,brazil,"Tocantinense, 2ª Divisão",19633,tocantinense-2a-divisao
392,brazil,Copa do Nordeste,1596,copa-do-nordeste
393,brazil,U20 Copa do Nordeste,24849,u20-copa-do-nordeste
394,brazil,Copa Verde,10158,copa-verde
395,brazil,U17 Campeonato Brasileiro,22794,u17-campeonato-brasileiro
396,brazil,U17 Copa do Brasil,20622,u17-copa-do-brasil
397,brazil,U17 Supercopa do Brasil,24949,u17-supercopa-do-brasil
398,brazil,"U17 Brasileiro, Feminino",22960,u17-brasileiro-feminino
399,brazil,U20 Campeonato Brasileiro,9233,u20-campeonato-brasileiro
400,brazil,"U20 Campeonato Brasileiro, Série B",25276,u20-campeonato-brasileiro-serie-b
401,brazil,U20 Copa do Brasil,9491,u20-copa-do-brasil
402,brazil,U20 Supercopa do Brasil,24938,u20-supercopa-do-brasil
403,brazil,"U20 Brasileiro, Feminino",22004,u20-brasileiro-feminino
404,brazil,Copinha,10772,copinha
405,brazil,Copinha Feminina,21696,copinha-feminina
406,brazil,U20 Acreano,22535,u20-acreano
407,brazil,"U20 Alagoano, Série A1",26801,u20-alagoano-serie-a1
408,brazil,"U20 Alagoano, Série A2",26920,u20-alagoano-serie-a2
409,brazil,U20 Copa Alagoas,23691,u20-copa-alagoas
410,brazil,U20 Amapaense,24846,campeonato-amapaense-sub-20
411,brazil,U20 Copa Amazonas,22845,u20-copa-amazonas
412,brazil,"U20 Amazonense, Feminino",27545,u20-amazonense-feminino
413,brazil,U20 Baiano,22035,u20-baiano
414,brazil,U20 Brasiliense,25640,u20-brasiliense
415,brazil,U20 Copa Brasília,24267,u20-copa-brasilia
416,brazil,U20 Capixaba,22029,u20-capixaba
417,brazil,"U20 Carioca, Série A",20102,u20-carioca-serie-a
418,brazil,"U20 Carioca, Série A2",23502,u20-carioca-serie-a2
419,brazil,"U20 Carioca, Série B1",22213,u20-carioca-serie-b1
420,brazil,"U20 Carioca, Série B2",22214,u20-carioca-serie-b2
421,brazil,U20 Copa Rio,22039,u20-copa-rio
422,brazil,U20 Torneio Otávio Pinto Guimarães,23063,u20-torneio-otavio-pinto-guimaraes
423,brazil,"U20 Carioca, Feminino",27370,u20-carioca-feminino
424,brazil,"U20 Copa Rio, Feminino",26777,u20-copa-rio-feminino
425,brazil,U20 Catarinense,22220,u20-catarinense
426,brazil,"U20 Copa Santa Catarina, Feminino",23083,u20-copa-santa-catarina-feminino
427,brazil,U20 Cearense,20351,u20-cearense
428,brazil,Taça FPF,24285,u23-taca-fpf
429,brazil,"U20 Gaúcho, Série A1",20317,u20-gaucho-serie-a1
430,brazil,U20 Goiano,22009,u20-goiano
431,brazil,"U20 Goiano, 2ª Divisão",25188,u20-goiano-2a-divisao
432,brazil,U20 Copa Goiás,23048,u20-copa-goias
433,brazil,"U20 Copa Goiás, 2ª Divisão",23221,u20-copa-goias-2a-divisao
434,brazil,"U20 Goiano, Feminino",25150,u20-goiano-feminino
435,brazil,U20 Maranhense,26519,u20-maranhense
436,brazil,U20 Mineiro,22434,u20-mineiro
437,brazil,"U20 Mineiro, 2ª Divisão",22815,u20-mineiro-2a-divisao
438,brazil,U20 Paraense,21164,u20-paraense
439,brazil,U20 Paraibano,22979,u20-paraibano
440,brazil,U20 Paranaense,21998,u20-paranaense
441,brazil,"U20 Paranaense, 2ª divisão",26383,u20-paranaense-2a-divisao
442,brazil,U20 Copa Paraná,24434,u20-copa-parana
443,brazil,U20 Paulista,10308,u20-paulista
444,brazil,"U20 Paulista, Série B",26518,u20-paulista-serie-b
445,brazil,"U20 Paulista, Feminino",22988,u20-paulista-feminino
446,brazil,U20 Pernambucano,22248,u20-pernambucano
