,teamName,id,teamslug,teamorigin
244,SV River Plate Aruba,451282,sv-river-plate-aruba,aruba
245,SC United,451280,sc-united,aruba
246,Jong Aruba,338282,jong-aruba,aruba
247,SV Unistars,464453,sv-unistars,aruba
248,Auckland FC,800224,auckland-fc,australia
249,Melbourne City,42210,melbourne-city,australia
250,Western United,193723,western-united,australia
251,Western Sydney Wanderers,72926,western-sydney-wanderers,australia
252,Melbourne Victory,5970,melbourne-victory,australia
253,Adelaide United,2946,adelaide-united,australia
254,Sydney FC,5971,sydney-fc,australia
255,Macarthur FC,371682,macarthur-fc,australia
256,Newcastle Jets,2934,newcastle-jets,australia
257,Central Coast Mariners,5966,central-coast-mariners,australia
258,Wellington Phoenix,7568,wellington-phoenix,australia
259,Brisbane Roar,5968,brisbane-roar,australia
260,Perth Glory,2945,perth-glory,australia
261,Zirə FK,173406,zire-fk,azerbaijan
262,Sumqayıt FK,44497,sumqayit-fk,azerbaijan
263,Araz Naxçıvan,119066,araz-naxcivan-pfk,azerbaijan
264,Turan Tovuz,36951,turan-tovuz,azerbaijan
265,İmişli FK,452296,imisli-fk,azerbaijan
266,FK Karvan Yevlax,498809,fk-karvan-yevlax,azerbaijan
267,Qarabağ,5962,qarabag,azerbaijan
268,Sabah FK,267828,sabah-fk,azerbaijan
269,Şamaxı FK,24036,samaxi-fk,azerbaijan
270,Neftçi Baku PFK,5215,neftci-baku-pfk,azerbaijan
271,Qəbələ FK,36952,qebele-fk,azerbaijan
272,Kəpəz PFK,37750,kepez-pfk,azerbaijan
273,Western Warriors Titans,454462,western-warriors-fc,bahamas
274,Dynamos Nassau FC,454471,dynamos-nassau-fc,bahamas
275,Westside Renegades,454465,westside-renegades,bahamas
276,University of Bahamas Mingoes,454466,university-of-bahamas-mingoes,bahamas
277,Western Warriors Gladiator,929880,western-warriors-gladiator,bahamas
278,United FC,454470,united-fc,bahamas
279,Future Stars FC,454469,future-stars-fc,bahamas
280,IM Bears FC,454467,im-bears-fc,bahamas
281,Seventeen FC,454468,seventeen-fc,bahamas
282,Baha Juniors,454463,baha-juniors,bahamas
283,Cavalier Nassau FC,454464,cavalier-nassau-fc,bahamas
284,Inter Nassau,497576,inter-nassau,bahamas
285,A'Ali FC,448068,aali-fc,bahrain
286,Bahrain SC,60428,bahrain-sc,bahrain
287,Al-Budaiya,190807,al-budaiya,bahrain
288,Al-Hidd,45472,al-hidd,bahrain
289,Al-Ahli Club,45471,al-ahli-club,bahrain
290,Al Khalidiyah,371631,al-khalidiyah,bahrain
291,Al-Muharraq,45474,al-muharraq,bahrain
292,Al Najma Manama,45475,al-najma-manama,bahrain
293,Al Riffa,40659,al-riffa,bahrain
294,Al-Shabab Manama,45476,al-shabab-manama,bahrain
295,Malkiya Club,45477,malkiya-club,bahrain
296,Sitra Club,117220,sitra-club,bahrain
297,Mohammedan SC,233643,mohammedan-sc,bangladesh
298,Abahani Limited Dhaka,246836,abahani-limited-dhaka,bangladesh
299,Bashundhara Kings,264278,bashundhara-kings,bangladesh
300,Rahmatganj MFS,230294,rahmatganj-mfs,bangladesh
301,Brothers Union,254080,brothers-union,bangladesh
302,Fortis FC,375005,fortis-fc,bangladesh
303,Bangladesh Police FC,241598,bangladesh-police-fc,bangladesh
304,Fakirerpool Young Men,238724,fakirerpool-young-men,bangladesh
305,Dhaka Wanderers Club,375011,dhaka-wanderers-club,bangladesh
306,Chittagong Abahani Limited,230295,chittagong-abahani-limited,bangladesh
307,Weymouth Wales FC,223421,weymouth-wales-fc,barbados
308,Brittons Hill United,245539,brittons-hill-united,barbados
309,Ellerton FC,245537,ellerton-fc,barbados
310,UWI Blackbirds,248657,uwi-blackbirds,barbados
311,Pride of Gall Hill SSC,314385,pride-of-gall-hill,barbados
312,Kickstart Rush Stars,505115,kickstart-rush,barbados
313,Paradise SC,253368,paradise-sc,barbados
314,Wotton FC,468973,wotton-fc,barbados
315,Deacons FC,313330,deacons-fc,barbados
316,Abrahams United Silver Sands,256211,silver-sands-fc,barbados
317,ML Vitebsk,381792,bk-maxline-vitebsk,belarus
318,Slavia Mozyr,3358,slavia-mozyr,belarus
319,Dinamo Minsk,3361,dinamo-minsk,belarus
320,FC Isloch Minsk Region,42965,fc-isloch-minsk-region,belarus
321,Torpedo-BelAZ Zhodino,3359,torpedo-belaz-zhodino,belarus
322,Dynamo Brest,3353,dynamo-brest,belarus
323,FC Minsk,7304,fc-minsk,belarus
324,Neman Grodno,3356,neman-grodno,belarus
325,BATE Borisov,3350,bate-borisov,belarus
326,Vitebsk,3351,vitebsk,belarus
327,Arsenal Dzerzhinsk,317897,fk-arsenal-dzerzhinsk,belarus
328,Gomel,3349,fk-gomel,belarus
329,Naftan Novopolotsk,5234,naftan-novopolotsk,belarus
330,Smorgon,7305,fk-smorgon,belarus
